file_name,prompt
01_starry_night.jpg,An artwork by Van Gogh
02_starry_night_rhone.jpg,An artwork by Van Gogh
03_cafe_terrace_night.jpg,An artwork by Van Gogh
04_sunflowers_london.jpg,An artwork by Van Gogh
05_the_sower.jpg,An artwork by Van Gogh
06_irises.jpg,An artwork by Van Gogh
07_almond_blossoms.jpg,An artwork by Van Gogh
08_wheatfield_crows.jpg,An artwork by Van Gogh
09_harvest_blue_cart.jpg,An artwork by Van Gogh
10_wheat_cypresses.jpg,An artwork by Van Gogh
11_olive_trees.jpg,An artwork by Van Gogh
12_green_wheat_auvers.jpg,An artwork by Van Gogh
13_mulberry_tree.jpg,An artwork by Van Gogh
14_self_portrait_bandage.jpg,An artwork by Van Gogh
15_self_portrait_orsay.jpg,An artwork by Van Gogh
16_self_portrait_1887.jpg,An artwork by Van Gogh
17_dr_gachet.jpg,An artwork by Van Gogh
18_bedroom_arles.jpg,An artwork by Van Gogh
19_night_cafe.jpg,An artwork by Van Gogh
20_yellow_house.jpg,An artwork by Van Gogh
